Size,OD,5s,5,10s,10,20,30,40s,40,60,80s,80,100,120,140,160,XXH
1/8,0.405,,0.035,0.049,0.049,,,0.068,0.068,,0.095,0.095,,,,,
1/4,0.54,,0.049,0.065,0.065,,,0.088,0.088,,0.119,0.119,,,,,
3/8,0.675,,0.049,0.065,0.065,,,0.091,0.091,,0.126,0.126,,,,,
1/2,0.84,0.065,0.065,0.083,0.083,,,0.109,0.109,,0.147,0.147,,,,0.187,0.294
3/4,1.05,0.065,0.065,0.083,0.083,,,0.113,0.113,,0.154,0.154,,,,0.218,0.308
1,1.315,0.065,0.065,0.109,0.109,,,0.133,0.133,,0.179,0.179,,,,0.25,0.358
1 1/4,1.66,0.065,0.065,0.109,0.109,,,0.14,0.14,,0.191,0.191,,,,0.25,0.382
1 1/2,1.9,0.065,0.065,0.109,0.109,,,0.145,0.145,,0.2,0.2,,,,0.281,0.4
2,2.375,0.065,0.065,0.109,0.109,,,0.154,0.154,,0.218,0.218,,,,0.343,0.436
2 1/2,2.875,0.083,0.083,0.12,0.12,,,0.203,0.203,,0.276,0.276,,,,0.375,0.552
3,3.5,0.083,0.083,0.12,0.12,,,0.216,0.216,,0.3,0.3,,,,0.437,0.6
3 1/2,4,0.083,0.083,0.12,0.12,,,0.226,0.226,,0.318,0.318,,,,,0.636
4,4.5,0.083,0.083,0.12,0.12,,,0.237,0.237,0.281,0.337,0.337,,0.437,,0.531,0.674
4 1/2,5,,,,,,,0.247,,,0.355,,,,,,0.71
5,5.563,0.109,0.109,0.134,0.134,,,0.258,0.258,,0.375,0.375,,0.5,,0.625,0.75
6,6.625,0.109,0.109,0.134,0.134,,,0.28,0.28,,0.432,0.432,,0.562,,0.718,0.864
7,7.625,,,,,,,0.301,,,0.5,,,,,,0.875
8,8.625,0.109,0.109,0.148,0.148,0.25,0.277,0.322,0.322,0.406,0.5,0.5,0.593,0.718,0.812,0.906,0.875
9,9.625,,,,,,,0.342,,,0.5,,,,,,
10,10.75,0.134,0.134,0.165,0.165,0.25,0.307,0.365,0.365,0.5,0.5,0.593,0.718,0.843,1,1.125,
11,11.75,,,,,,,0.375,,,0.5,,,,,,
12,12.75,0.156,0.165,0.18,0.18,0.25,0.33,0.375,0.406,0.562,0.5,0.687,0.843,1,1.125,1.312,
14,14,0.156,,0.188,0.25,0.312,0.375,0.375,0.437,0.593,0.5,0.75,0.937,1.093,1.25,1.406,
16,16,0.165,,0.188,0.25,0.312,0.375,0.375,0.5,0.656,0.5,0.843,1.031,1.218,1.437,1.593,
18,18,0.165,,0.188,0.25,0.312,0.437,0.375,0.562,0.75,0.5,0.937,1.156,1.375,1.562,1.781,
20,20,0.188,,0.218,0.25,0.375,0.5,0.375,0.593,0.812,0.5,1.031,1.28,1.5,1.75,1.968,
24,24,0.218,,0.25,0.25,0.375,0.562,0.375,0.687,0.968,0.5,1.218,1.531,1.812,2.062,2.343,
26,26,,,,0.312,0.5,,0.375,,,0.5,,,,,,
28,28,,,,312,0.5,0.625,0.375,,,,,,,,,
30,30,0.25,,0.312,0.312,0.5,0.625,0.375,,,0.5,,,,,,
32,32,,,,0.312,0.5,0.625,0.375,0.688,,0.5,,,,,,
34,34,,,,0.312,0.5,0.625,0.375,0.688,,,,,,,,
36,36,,,,0.312,,0.625,0.375,0.75,,0.5,,,,,,
42,42,,,,,,,0.375,,,0.5,,,,,,
48,48,,,,,,,0.375,,,0.5,,,,,,
