Temperature,150,300,400,600,900,1500,2500
-29,19,49.6,66.2,99.3,148.9,248.2,413.7
38,19,49.6,66.2,99.3,148.9,248.2,413.7
50,18.3,47.8,63.8,95.6,143.5,239.1,398.5
100,15.7,40.9,54.5,81.7,122.6,204.3,340.4
150,14.2,37,49.3,74,111,185,308.4
200,13.2,34.5,46,69,103.4,172.4,287.3
250,12.1,32.5,43.3,65,97.5,162.4,270.7
300,10.2,30.9,41.2,61.8,92.7,154.6,257.6
325,9.3,30.2,40.3,60.4,90.7,151.1,251.9
350,8.4,29.6,39.5,59.3,88.9,148.1,246.9
375,7.4,29,38.7,58.1,87.1,145.2,241.9
400,6.5,28.4,37.9,56.9,85.3,142.2,237
425,5.5,28,37.3,56,84,140,233.3
450,4.6,27.4,36.5,54.8,82.2,137,228.4
475,3.7,26.9,35.9,53.9,80.8,134.7,224.5
500,2.8,26.5,35.3,53,79.5,132.4,220.7
538,1.4,24.4,32.6,48.9,73.3,122.1,203.6
550,,23.6,31.4,47.1,70.7,117.8,196.3
575,,20.8,27.8,41.7,62.5,104.2,173.7
600,,16.9,22.5,33.8,50.6,84.4,140.7
625,,13.8,18.4,27.6,41.4,68.9,114.9
650,,11.3,15,22.5,33.8,56.3,93.8
675,,9.3,12.5,18.7,28,46.7,77.9
700,,8,10.7,16.1,24.1,40.1,66.9
725,,6.8,9,13.5,20.3,33.8,56.3
750,,5.8,7.7,11.6,17.3,28.9,48.1
775,,4.6,6.2,9,13.7,22.8,38
800,,3.5,4.8,7,10.5,17.4,29.2
816,,2.8,3.8,5.9,8.6,14.1,23.8
