Temp,304,304H,316,316H,317,304L,316L
-20,18.8,18.8,18.8,18.8,18.8,15.7,15.7
100,18.8,18.8,18.8,18.8,18.8,15.7,15.7
200,15.7,15.7,16.2,16.2,16.2,13.4,13.3
300,14.1,14.1,14.6,14.6,14.6,12.0,11.9
400,13.0,13.0,13.4,13.4,13.4,11.0,10.8
500,12.2,12.2,12.5,12.5,12.5,10.3,10.0
600,11.4,11.4,11.8,11.8,11.8,9.7,9.4
650,11.3,11.3,11.6,11.6,11.6,9.5,9.2
700,11.1,11.1,11.3,11.3,11.3,9.4,9.0
750,10.8,10.8,11.2,11.2,11.2,9.2,8.8
800,10.6,10.6,11.0,11.0,11.0,9.1,8.6
850,10.4,10.4,10.9,10.9,10.9,0.0,8.4
900,10.2,10.2,10.8,10.8,10.8,0.0,0.0
950,10.0,10.0,10.7,10.7,10.7,0.0,0.0
1000,9.8,9.8,10.6,10.6,10.6,0.0,0.0
1050,9.5,9.5,10.5,10.5,10.5,0.0,0.0
1100,8.9,8.9,10.3,10.3,10.3,0.0,0.0
1150,7.7,7.7,9.3,9.3,9.3,0.0,0.0
1200,6.1,6.1,7.4,7.4,7.4,0.0,0.0
