Temp,304,304H,316,316H,317,304L,316L
-20,16.0,16.0,16.0,16.0,16.0,13.3,13.3
100,16.0,16.0,16.0,16.0,16.0,13.3,13.3
200,13.3,13.3,13.8,13.8,13.8,11.4,11.3
300,12.0,12.0,12.4,12.4,12.4,10.2,10.1
400,11.0,11.0,11.4,11.4,11.4,9.3,9.2
500,10.5,10.5,10.6,10.6,10.6,8.7,8.5
600,9.7,9.7,10.1,10.1,10.1,8.3,8.0
650,9.5,9.5,9.8,9.8,9.8,8.1,7.8
700,9.4,9.4,9.6,9.6,9.6,8.0,7.6
750,9.2,9.2,9.5,9.5,9.5,7.8,7.5
800,9.0,9.0,9.4,9.4,9.4,7.7,7.5
850,8.8,8.8,9.3,9.3,9.3,0.0,7.2
900,8.7,8.7,9.2,9.2,9.2,0.0,0.0
950,8.5,8.5,9.1,9.1,9.1,0.0,0.0
1000,8.3,8.3,9.0,9.0,9.0,0.0,0.0
1050,8.1,8.1,8.9,8.9,8.9,0.0,0.0
1100,7.6,7.6,8.8,8.8,8.8,0.0,0.0
1150,6.5,6.5,7.9,7.9,7.9,0.0,0.0
1200,5.4,5.4,6.3,6.3,6.3,0.0,0.0
